  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Chadwick Elementary,Baltimore County,Elementary,113,649,23,291,82,240,0,0,0,59.7,0.7,68,4,10.6,40.70%,46.60%,3.1,3.2,0,31.2,18.8,67.5,0,3.6,26.2,0,42.6,29,61,0,10.7,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.60%,88%,0,90.20%,100%,59,49,69.18%,0.9389,241.0765,-0.5510,26.6026,-0.5557,837.0090,-0.0048,36.0767,4.2461,33.8380,2.440681625
Chapel Hill Elementary,Baltimore County,Elementary,1107,815,497,84,27,159,0,0,46,70.7,0.83,96,5,15.3,76.30%,75.60%,3.9,3.8,77.9,63.3,50,85.2,66.7,41.7,41.7,78.3,53.1,66.7,82.7,71.4,22.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.80%,100%,0,93.90%,100%,62,58,10.44%,-1.2740,53.8068,-0.6434,128.4855,-0.5116,183.3548,-0.1990,0.0107,36.9405,20.0649,0.7503324339
Charlesmont Elementary,Baltimore County,Elementary,1212,458,307,56,49,14,0,0,31,49.6,0.58,32,3,8.5,31%,28%,2.7,2.8,32.6,21.4,33.3,0,0,10,0,31.9,14.3,16.7,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10%,98.60%,0,78.50%,100%,49,47,64.84%,0.7754,55.5264,-0.6421,60.5876,-0.5369,10.0954,-0.3298,1.2058,0.1808,11.2958,-0.3258690918
Chase Elementary,Baltimore County,Elementary,1507,368,205,94,26,0,0,0,40,45.2,0.6,36,4,8.7,30.80%,30.10%,2.9,2.7,34.6,19.4,45.5,0,28.6,4.8,0,33.3,22.2,45.5,0,21.4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,81.30%,100%,50,44,61.76%,0.6593,11.5777,-0.6878,6.4629,-0.5743,25.6824,-0.3059,18.6714,3.2962,8.1050,-0.7174770071
Chatsworth School,Baltimore County,Elementary,404,378,160,159,20,21,0,0,16,51.2,0.68,63,4,9.2,36.50%,31.50%,3,2.8,46.5,21.7,41.7,0,0,9.1,0,36,23.2,41.7,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,88.90%,100%,61,45,28.68%,-0.5869,0.2257,-0.7209,8.9981,-0.5710,1.0973,-0.3567,1.1957,8.5683,4.4816,-1.162160943
Chesapeake Terrace Elementary,Baltimore County,Elementary,1511,326,300,0,11,0,0,0,0,53,0.71,69,4,10.1,41.50%,37.40%,3.1,3.1,42.6,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.50%,0,92%,100%,51,54,31.10%,-0.4957,171.4541,-0.5784,108.1559,-0.5183,22.7513,-0.3097,18.1218,14.5090,18.3028,0.5340780605
Church Lane Elementary Technology,Baltimore County,Elementary,207,429,0,389,22,0,0,0,0,46.6,0.62,42,4,10.2,35.30%,44.60%,3,3.1,0,35.5,7.7,0,0,13.3,0,0,46.3,23.1,0,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.90%,0,83.20%,100%,40,48,59.77%,0.5844,188.5365,-0.5712,427.5136,-0.4451,29.9395,-0.3008,23.8473,10.3984,26.0813,1.48872024
Colgate Elementary,Baltimore County,Elementary,1503,424,169,42,177,0,0,0,25,52.2,0.61,40,4,5.8,15.20%,11%,2.3,2.2,20.8,10.5,12.4,0,9.1,2.9,3.7,13,5.3,10.3,0,9.1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.20%,100%,0,84.40%,100%,51,45.5,75.64%,1.1822,1.6134,-0.7119,69.2092,-0.5331,29.5906,-0.3013,0.0868,422.5708,22.8707,1.094692734
Cromwell Valley Elementary Technology,Baltimore County,Elementary,916,358,176,128,10,24,0,0,19,51.1,0.68,62,4,12.7,59.40%,56%,3.5,3.4,70.5,41.2,0,0,0,10,0,62.9,45.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.60%,0,93%,100%,40,41,23.12%,-0.7963,2.2147,-0.7095,0.7169,-0.5864,0.0388,-0.3674,0.0408,18.8188,4.6722,-1.138768607
Deep Creek Elementary,Baltimore County,Elementary,1525,503,53,369,31,0,0,0,36,44,0.52,20,3,4.6,8.50%,5.50%,2,2,5,8.6,5.3,0,8.3,0,5.3,20,3.6,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.20%,95.30%,0,74%,100%,48,34,81.85%,1.4162,127.7650,-0.5986,244.8069,-0.4809,35.1039,-0.2951,2.3114,7.6192,20.4354,0.7958111133
Deer Park Elementary,Baltimore County,Elementary,216,442,0,410,0,0,0,0,12,47.9,0.64,48,4,8.4,26.90%,31.30%,2.7,2.8,0,25.7,0,0,0,4.8,0,0,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.40%,0,88.70%,98.40%,52.5,46,54.55%,0.3877,194.2497,-0.5689,472.9788,-0.4374,30.8468,-0.2998,6.4308,44.5018,27.3680,1.646632254
Dogwood Elementary,Baltimore County,Elementary,112,663,19,552,30,39,0,0,17,50.5,0.59,35,3,7.2,20.30%,23.10%,2.5,2.5,0,20.5,26.3,0,0,2.6,0,0,22.8,21.1,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.30%,98.90%,0,78%,100%,54,52,61.98%,0.6676,254.6135,-0.5461,501.2230,-0.4329,1.1423,-0.3564,10.6965,20.2352,28.0697,1.732755103
Dundalk Elementary,Baltimore County,Elementary,1202,703,278,240,93,0,0,11,74,42.1,0.5,17,3,6.3,17.60%,16.20%,2.3,2.3,21.6,14.6,25.7,0,10.5,0,0,17.9,13.6,14.3,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.20%,96%,0,69.80%,100%,35,43,74.93%,1.1555,3.1012,-0.7064,0.1964,-0.5893,49.0617,-0.2815,31.2067,6.9756,9.5153,-0.5443863876
Edgemere Elementary,Baltimore County,Elementary,1502,492,414,18,19,0,0,0,28,47.1,0.63,45,4,9.8,41.20%,33.50%,3.1,2.9,42.5,0,0,0,36.4,3.8,0,33,20,0,0,36.4,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,88.20%,100%,49,36,37.35%,-0.2603,180.9029,-0.5744,129.2142,-0.5114,34.3362,-0.2960,0.0155,18.8235,19.0602,0.6270370083
Edmondson Heights Elementary,Baltimore County,Elementary,104,544,36,425,48,11,0,0,21,53.8,0.63,46,4,6.8,16.40%,24.60%,2.3,2.4,0,17.2,5.9,0,30,2.3,0,0,26.8,5.9,0,20,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.30%,83.80%,0,80.90%,100%,58,57,65.14%,0.7867,172.4974,-0.5780,331.2785,-0.4627,19.1524,-0.3147,2.8233,0.8371,22.9475,1.104115884
Elmwood Elementary,Baltimore County,Elementary,1405,586,124,333,64,24,0,0,41,45,0.53,22,3,6.7,19.40%,17.30%,2.5,2.3,28.9,16.3,15.4,0,7.1,0,10,20,15,11.1,0,14.3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.80%,91.90%,0,79.30%,98.80%,42,30.5,58.98%,0.5546,69.2393,-0.6323,98.7871,-0.5216,6.9808,-0.3366,2.1792,0.4237,13.3270,-0.07658440192
Essex Elementary,Baltimore County,Elementary,1508,517,340,60,55,18,0,13,31,54.8,0.64,50,4,8.3,29.30%,28.20%,2.8,2.6,29.3,13,25.9,50,0,18.8,12.5,28.6,17.4,18.5,41.7,0,9.4,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,100%,0,77.80%,100%,59.5,52,53.92%,0.3640,55.9897,-0.6418,72.5118,-0.5317,9.0608,-0.3319,0.1779,0.1669,11.7434,-0.2709439116
Featherbed Lane Elementary,Baltimore County,Elementary,204,605,17,499,60,0,0,0,13,48.7,0.57,29,3,7.1,19.50%,24.10%,2.4,2.5,0,18.1,28.1,0,0,0,8.3,0,21.7,34.4,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,97.80%,0,80.80%,100%,45,41.5,66.12%,0.8236,232.9717,-0.5539,443.2650,-0.4424,42.2224,-0.2879,12.6560,0.0137,27.0394,1.606302249
Fifth District Elementary,Baltimore County,Elementary,501,317,279,0,14,0,0,0,18,62.2,0.83,95,5,14.2,72.60%,62.80%,3.8,3.6,76.8,0,0,0,0,15.8,0,63.8,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,94.80%,100%,72,55,12.81%,-1.1848,140.0565,-0.5926,105.1700,-0.5193,22.1231,-0.3105,0.0081,10.0575,16.6558,0.331945341
Fort Garrison Elementary,Baltimore County,Elementary,308,289,217,37,0,17,0,0,12,60.8,0.81,93,5,15.8,79.20%,77.60%,4,4,81.4,54.5,0,0,0,33.3,0,79.4,63.6,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,88.70%,100%,61,61,7.32%,-1.3916,63.7614,-0.6361,36.1588,-0.5496,0.4979,-0.3610,1.0286,29.0973,11.4256,-0.3099457606
Franklin Elementary,Baltimore County,Elementary,403,436,268,86,26,34,0,0,22,72.8,0.86,98,5,13.6,63.70%,64.20%,3.7,3.6,69.6,42.5,50,78.6,0,21.7,0,70.4,40,50,78.6,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.90%,100%,0,91.80%,100%,82.5,74.5,16.82%,-1.0337,30.4520,-0.6640,23.7805,-0.5577,0.4193,-0.3617,0.2064,7.2971,7.8839,-0.7446133897
Fullerton Elementary,Baltimore County,Elementary,1404,628,289,188,49,52,0,0,47,51.8,0.61,38,4,9.5,40.40%,34.80%,2.9,2.8,43.9,32.9,21.4,60.6,42.9,15.2,31.6,37.4,29.8,21.4,37.5,47.6,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.80%,93.80%,0,86.40%,100%,38,39.5,38.45%,-0.2188,0.6130,-0.7174,1.9875,-0.5824,1.5239,-0.3543,4.1875,3.2020,3.3932,-1.295740705
Glenmar Elementary,Baltimore County,Elementary,1518,431,39,265,53,51,0,0,19,51.6,0.61,37,4,7,17.80%,24.10%,2.3,2.5,6.7,14.5,4.2,52.2,0,0,9.5,26.7,20.8,9.1,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,98.50%,0,78.30%,100%,49.5,60,67.81%,0.8872,119.4454,-0.6029,104.1047,-0.5197,14.5511,-0.3218,1.0262,2.1263,15.5323,0.1940677922
Glyndon Elementary,Baltimore County,Elementary,407,540,122,279,73,32,0,0,32,45.9,0.54,24,3,7.8,26.10%,26.20%,2.6,2.6,44.1,13,22.6,71.4,16.7,0,19,35.6,15.3,22.6,61.9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.70%,90.70%,0,75.50%,100%,40,41,58.35%,0.5309,56.0360,-0.6417,55.6461,-0.5392,0.8579,-0.3582,0.1309,6.3847,10.9113,-0.3730677365
Grange Elementary,Baltimore County,Elementary,1210,493,338,65,38,13,0,0,35,59.3,0.7,67,4,9.7,36.90%,40.10%,2.9,2.9,41.8,27.6,9.1,0,33.3,12.5,11.8,45.8,27.6,18.2,0,40,6.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76%,100%,0,84.50%,100%,60,57.5,61.32%,0.6427,67.9517,-0.6332,59.3923,-0.5375,13.3180,-0.3238,2.1049,2.7280,12.0621,-0.2318243479
Gunpowder Elementary,Baltimore County,Elementary,1111,620,384,101,14,94,0,0,25,62,0.73,77,4,11.6,51.30%,50.50%,3.3,3.2,56.8,22.4,0,68.6,0,6.5,35.7,55.3,29.3,0,60.8,0,6.5,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.60%,100%,0,90.30%,100%,54,53,17.31%,-1.0152,45.6457,-0.6500,53.2881,-0.5404,59.4789,-0.2726,2.5992,37.5631,14.0917,0.01725619206
Halethorpe Elementary,Baltimore County,Elementary,1313,421,161,47,18,168,0,0,26,63.7,0.75,82,4,9,29.80%,36.20%,2.8,2.9,32.9,20,0,27.8,40,10.3,20,37.6,13.3,0,39.6,46.7,6.9,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.50%,88.30%,0,87.40%,100%,70,65,68.22%,0.9027,3.1185,-0.7063,61.4892,-0.5365,653.9949,-0.0472,0.2883,14.0312,27.0725,1.610369635
Halstead Academy,Baltimore County,Elementary,912,501,17,436,31,0,0,0,13,43.3,0.51,19,3,6.3,16.30%,18.50%,2.3,2.3,0,16.8,10,0,0,0,0,0,17.6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.70%,68.80%,0,74.20%,100%,39,34,76.71%,1.2225,187.4915,-0.5717,437.8897,-0.4433,34.9643,-0.2953,7.9180,7.4936,25.9953,1.478166496
Hampton Elementary,Baltimore County,Elementary,911,568,353,86,31,67,0,0,29,66.6,0.78,89,5,14.4,70.70%,68.70%,3.8,3.7,79.2,38.9,36.4,82.1,53.3,30.8,41.7,74.9,38.9,54.5,78.9,60,30.8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.30%,100%,0,92.20%,100%,60,51,17.14%,-1.0216,42.8107,-0.6524,55.6913,-0.5392,18.8838,-0.3151,0.2099,11.9921,11.3837,-0.3150909707
Harford Hills Elementary,Baltimore County,Elementary,915,422,216,131,28,30,0,0,17,56.9,0.67,58,4,11.4,47.30%,49.30%,3.3,3.3,55.5,25.4,20,87.5,50,12,0,55.5,33.9,40,68.8,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.70%,96.90%,0,83.80%,100%,46,42,42.72%,-0.0580,5.0290,-0.7009,0.5793,-0.5870,0.0102,-0.3686,1.7780,4.9403,3.5124,-1.281115545
Hawthorne Elementary,Baltimore County,Elementary,1515,544,162,263,42,0,0,0,68,32.2,0.43,10,2,5.3,9.30%,12.80%,2,2.2,13.2,5.9,19,0,6.5,4.2,0,19.1,6.8,25,0,12.9,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,0,80%,100%,17,23,81.64%,1.4083,24.8489,-0.6700,37.7290,-0.5486,37.9653,-0.2921,47.1501,2.9780,12.2748,-0.2057205567
Hebbville Elementary,Baltimore County,Elementary,209,466,0,378,55,0,0,0,16,53.6,0.63,46,4,8,26.80%,29.90%,2.6,2.6,0,26.2,19,0,0,9.1,7.1,0,31,14.3,0,0,3,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65%,91.80%,0,84.60%,100%,52,52,60.30%,0.6043,204.7972,-0.5647,322.8010,-0.4644,32.5217,-0.2979,3.7867,1.3921,23.7760,1.205794678
Hernwood Elementary,Baltimore County,Elementary,214,431,0,392,18,0,0,0,10,43.2,0.51,18,3,5.7,12.70%,16.90%,2.1,2.2,0,11,0,0,0,0,0,0,14.5,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20%,93.40%,0,80.40%,98.40%,33,33,56.88%,0.4755,189.4154,-0.5709,433.6291,-0.4440,30.0791,-0.3007,8.1324,14.8607,26.0022,1.479015298
Hillcrest Elementary,Baltimore County,Elementary,115,698,450,86,57,67,0,0,34,63.6,0.75,82,4,13.7,65.90%,62.70%,3.7,3.6,75.7,54.2,20,57.7,40,20.7,16.7,74.3,47.9,24,42.3,26.7,17.2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.70%,100%,0,93.70%,100%,42,51,21.05%,-0.8743,66.8894,-0.6339,91.5112,-0.5242,6.8652,-0.3368,0.5939,2.5082,12.9757,-0.1197077047
Jacksonville Elementary,Baltimore County,Elementary,1002,539,460,0,28,25,0,0,18,68.2,0.91,99,5,16.7,85%,85.50%,4.1,4,85.5,0,81.3,100,0,50,0,87.3,0,62.5,100,0,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,96.90%,100%,82,61.5,4.26%,-1.5069,210.1616,-0.5626,178.8223,-0.4971,4.2315,-0.3439,4.7757,12.7148,20.2659,0.7750038375
Johnnycake Elementary,Baltimore County,Elementary,105,727,49,436,142,73,0,0,20,48.2,0.57,28,3,6.3,15.30%,20%,2.2,2.4,8.7,12.3,23.7,32,0,14,6.7,18.2,17.9,22,36,0,8.8,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,94.30%,0,84.40%,100%,39,42,69.95%,0.9679,229.0160,-0.5554,157.3387,-0.5030,9.7692,-0.3305,10.3105,64.6746,21.7050,0.9516298772
Joppa View Elementary,Baltimore County,Elementary,1109,824,390,203,37,150,0,0,41,63.4,0.75,82,4,12.5,54.60%,57.30%,3.4,3.4,57.1,38.5,40,75,44.4,6.7,45.8,61.4,44.8,53.3,65.7,50,6.7,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.40%,100%,0,90.70%,100%,50,58.5,27.91%,-0.6159,2.1448,-0.7097,18.1170,-0.5621,148.7682,-0.2160,0.5040,25.4640,13.9642,0.001608578467
Kingsville Elementary,Baltimore County,Elementary,1104,341,308,0,11,11,0,0,0,62.5,0.83,96,5,14.4,72.80%,66.70%,3.8,3.6,72.8,0,0,0,0,31.3,0,67.3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30%,0,93.70%,100%,73,60,8.41%,-1.3505,166.8700,-0.5804,113.1324,-0.5166,6.8825,-0.3368,18.9556,15.8571,17.9359,0.489054598
Lansdowne Elementary,Baltimore County,Elementary,1311,513,225,119,90,29,0,0,42,53,0.62,43,4,7.5,19.30%,26.30%,2.6,2.7,26.5,3.7,16.2,27.3,30,12.9,8.3,33.3,7.4,21.6,36.4,40,9.7,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.80%,100%,0,84.70%,100%,47,43,69.41%,0.9475,0.0009,-0.7259,15.4002,-0.5644,1.2922,-0.3556,6.3751,28.4743,7.1793,-0.8310787611
Logan Elementary,Baltimore County,Elementary,1217,617,263,213,67,0,0,0,60,52.9,0.62,43,4,8.2,26.50%,31.80%,2.6,2.6,30.2,17,36.4,0,31.8,11.8,18.2,34.5,22.5,43.8,0,40.9,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.20%,98.90%,0,77%,100%,46.5,65,70.69%,0.9957,0.2455,-0.7207,0.3365,-0.5883,43.0599,-0.2871,19.2606,0.3832,7.9552,-0.7358554489
Lutherville Laboratory,Baltimore County,Elementary,803,397,219,61,29,63,0,0,24,71.2,0.84,96,5,14.7,69.50%,70.90%,3.8,3.8,73.4,38.5,46.2,90.3,72.7,46.7,0,75,57.7,61.5,80.6,45.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.70%,100%,0,93.70%,100%,56,69,17.12%,-1.0224,11.3636,-0.6882,37.9625,-0.5485,44.9590,-0.2853,0.1690,3.0113,9.8725,-0.500557547
Lyons Mill Elementary,Baltimore County,Elementary,410,764,37,568,19,101,0,0,32,61,0.72,73,4,10.4,35.30%,47.80%,3,3.2,26.7,32.2,0,82.6,0,4.2,33.3,40,46.1,0,73.9,0,8.3,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,99.10%,0,86.40%,99.10%,51,57.5,33.98%,-0.3872,265.8392,-0.5422,390.3001,-0.4516,42.6395,-0.2875,2.5809,43.6147,27.2942,1.637576272
Mars Estates Elementary,Baltimore County,Elementary,1512,434,95,243,50,14,0,0,31,50.4,0.59,34,3,7.5,25.30%,24.30%,2.5,2.5,28.6,23.2,16.7,0,38.5,18.2,0,27.6,19.6,33.3,0,30.8,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.60%,92%,0,82.40%,100%,51,43,69.20%,0.9396,48.0511,-0.6480,68.0870,-0.5336,8.7596,-0.3326,1.9590,0.9094,11.3034,-0.3249456142
Martin Boulevard Elementary,Baltimore County,Elementary,1506,326,112,119,53,0,0,0,37,49.6,0.58,32,3,6.8,17.60%,18.30%,2.6,2.4,21.6,16.3,11.1,0,15.8,9.4,23.5,17.6,22.4,16.7,0,15.8,9.4,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.40%,89.10%,0,87%,90.90%,49,34,76.44%,1.2124,6.8250,-0.6968,1.0873,-0.5850,22.7513,-0.3097,19.6663,12.4039,7.9205,-0.7401212781
Mays Chapel Elementary,Baltimore County,Elementary,814,750,353,117,108,129,0,0,41,65.7,0.77,87,5,13.3,61.70%,63.60%,3.5,3.5,74.6,29.3,25.5,84.9,68.8,13.9,22.9,74,44.8,31.9,78.8,62.5,19.4,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.80%,96.50%,0,91.70%,100%,54,65,23.24%,-0.7918,1.6599,-0.7117,69.8396,-0.5329,112.2711,-0.2362,0.0115,13.9775,14.0627,0.01370146742
McCormick Elementary,Baltimore County,Elementary,1403,367,18,313,15,0,0,0,14,44.5,0.59,34,3,7.2,25%,20.30%,2.5,2.4,0,22.9,0,0,0,7.1,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,0,82.70%,98.20%,62.5,36,68.92%,0.9291,127.2976,-0.5989,300.3765,-0.4689,25.6126,-0.3060,2.0083,13.0398,21.6410,0.9437747514
Middleborough Elementary,Baltimore County,Elementary,1520,370,254,81,11,0,0,0,16,46.2,0.62,41,4,8.7,31.60%,29.50%,2.9,2.8,35.6,17.1,0,0,20,12,0,32.6,20,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.80%,0,86.10%,98.60%,53.5,37.5,42.16%,-0.0791,51.3670,-0.6453,14.2022,-0.5656,25.8220,-0.3058,1.0144,18.5007,10.5312,-0.4197116738
Middlesex Elementary,Baltimore County,Elementary,1514,509,169,198,92,0,0,0,41,43.5,0.51,19,3,6.1,15.50%,14.60%,2.3,2.3,13.7,17,13.2,0,11.1,3.6,0,15.1,9.2,15.8,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,98.50%,0,78.70%,100%,37,38,67.12%,0.8612,13.3732,-0.6850,5.0252,-0.5764,35.5227,-0.2947,5.7055,32.4068,9.5934,-0.53480592
Milbrook Elementary,Baltimore County,Elementary,307,422,16,270,75,35,0,0,23,50,0.59,33,3,7.1,24.50%,21.30%,2.4,2.4,27.3,21.8,22.7,44.4,27.8,6.5,15.2,30,22.7,16.3,29.4,11.1,3.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.20%,94.70%,0,79.60%,100%,48,48,63.55%,0.7268,154.8405,-0.5858,120.6992,-0.5141,1.0455,-0.3570,0.0090,24.8781,17.3630,0.4187344984
New Town Elementary,Baltimore County,Elementary,217,842,65,661,20,51,0,0,44,58.8,0.69,64,4,10.4,42.20%,43.10%,3.1,3.1,72.7,38.4,0,75,38.9,8.3,27.3,72.7,39.8,0,61.9,50,2.8,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.50%,83.80%,0,88.10%,100%,59,55,34.36%,-0.3729,251.4589,-0.5472,521.4242,-0.4297,1.0254,-0.3571,0.1681,49.4932,28.6979,1.809847986
Oakleigh Elementary,Baltimore County,Elementary,910,676,175,362,53,45,0,0,39,49.7,0.58,33,3,7.4,22.10%,25.50%,2.5,2.5,31.9,13.7,25,42.9,20,5.4,11.5,36.7,17.3,16.7,46.4,25,1.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.30%,94.60%,0,74.70%,95.50%,57,45,61.39%,0.6454,50.1718,-0.6463,84.5767,-0.5269,0.1005,-0.3659,0.0538,3.3330,11.7574,-0.2692264962
Oliver Beach Elementary,Baltimore County,Elementary,1534,204,184,0,0,0,0,0,14,49.8,0.66,56,4,9.8,40.20%,34.50%,3.1,2.9,39.2,0,0,0,0,5.9,0,34.2,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.50%,100%,54,34,20.10%,-0.9101,99.2845,-0.6138,67.6804,-0.5338,14.2370,-0.3223,0.6240,20.5393,14.2255,0.03368255975
Orems Elementary,Baltimore County,Elementary,1519,318,223,36,29,0,0,0,22,46.1,0.61,40,4,10.6,47.20%,37.80%,3.3,3.1,50.5,42.1,30,0,0,21.7,0,37.1,38.9,40,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,78.90%,100%,47,46,52.78%,0.3210,49.5859,-0.6468,45.7860,-0.5442,22.1929,-0.3105,1.0572,0.2843,10.9044,-0.3739076965
Owings Mills Elementary,Baltimore County,Elementary,402,769,45,456,203,29,0,0,32,53.2,0.63,44,4,8.9,32.40%,31.90%,2.9,2.8,42.9,31,32.1,0,30.8,5.7,23,42.9,32.3,25.6,0,46.2,2.9,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74%,98.30%,0,82.50%,100%,43.5,50.5,64.17%,0.7501,253.9512,-0.5463,158.1529,-0.5028,11.3383,-0.3274,2.7020,203.6691,25.0961,1.367804399
Padonia International Elementary,Baltimore County,Elementary,810,494,61,80,212,126,0,0,15,59.1,0.7,66,4,9.8,39.40%,39.70%,3,2.9,61.9,22.9,22.1,76.9,0,4.3,20.6,61.9,32.4,28.2,54.1,0,8.7,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78%,94.60%,0,88.80%,98.20%,51,56,61.68%,0.6563,112.2420,-0.6066,42.9427,-0.5457,242.9725,-0.1732,5.6541,529.3658,30.5479,2.03689919
Perry Hall Elementary,Baltimore County,Elementary,1105,766,363,155,42,136,0,0,60,63,0.74,81,4,11.6,53.10%,47.50%,3.3,3.2,59.1,23.6,50,75.8,45.8,15.2,33.3,54.1,22.2,50,57.4,54.2,9.1,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.40%,99.10%,0,88%,100%,64,49,32.90%,-0.4279,2.0639,-0.7100,38.6703,-0.5481,127.4467,-0.2274,7.1262,15.9955,13.8312,-0.01470760172
