  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Jones Lane Elementary,Montgomery County,Elementary,360,448,195,63,122,41,0,0,26,56.2,0.66,55,4,12.2,56.30%,54.50%,3.4,3.3,79.2,33.3,22.6,81,0,29.7,23.8,74.3,35.9,26.4,66.7,0,21.6,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.80%,100%,0,88.50%,100%,39,47,26.28%,-0.6773,15.9277,-0.6812,8.3171,-0.5719,5.1250,-0.3413,0.0271,0.0675,5.4281,-1.046003453
Judith A. Resnik Elementary,Montgomery County,Elementary,514,636,87,196,248,73,0,0,31,60.9,0.72,73,4,10.3,44.30%,40%,3.1,2.9,60,38.6,33.6,81.6,0,25,34.2,46.7,39.8,29.4,68.4,0,10,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.10%,100%,0,82.10%,100%,71,58.5,54.26%,0.3768,70.5668,-0.6314,35.6306,-0.5499,1.1468,-0.3564,1.3303,28.1751,11.6983,-0.2764795228
Kemp Mill Elementary,Montgomery County,Elementary,805,532,22,79,410,14,0,0,0,59.4,0.7,67,4,9.5,40.20%,31.40%,3.1,2.8,0,41.2,36.1,0,0,22.7,34.1,0,35.3,27.8,0,0,13.6,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.20%,100%,0,78.30%,100%,63,70,79.89%,1.3423,132.9461,-0.5961,7.4999,-0.5729,44.0428,-0.2861,31.8877,461.6633,26.0392,1.483550326
Kensington Parkwood Elementary,Montgomery County,Elementary,783,657,431,37,73,48,0,0,67,70,0.82,95,5,14.4,70.10%,69.50%,3.7,3.7,74.5,35.3,61.1,72.7,67.6,28.1,38.5,75,41.2,50,63.6,73.5,18.8,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.70%,100%,0,91.90%,100%,64,64,8.50%,-1.3471,216.7334,-0.5600,68.9317,-0.5332,16.4288,-0.3188,19.3718,66.2655,19.6909,0.7044368111
Lake Seneca Elementary,Montgomery County,Elementary,108,545,68,205,210,32,0,0,26,52.9,0.62,43,4,9.8,37.20%,39.70%,2.9,3.1,57.1,25.9,35.2,0,76.9,9.5,28.6,39.3,32.1,40.8,0,76.9,14.3,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.40%,100%,0,79.20%,100%,46,49.5,56.16%,0.4484,68.3391,-0.6329,82.0401,-0.5279,21.3446,-0.3116,1.3606,22.1798,13.9737,0.00277813949
Lakewood Elementary,Montgomery County,Elementary,209,519,155,56,43,231,0,0,30,67.3,0.79,90,5,15,72.60%,71.30%,4,3.8,71.4,36.8,56.3,85.8,80,46.4,54.8,67.8,39.5,62.5,84.9,80,39.3,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.20%,100%,0,91.60%,100%,57,54,6.54%,-1.4210,1.3086,-0.7134,22.6910,-0.5585,395.8230,-0.1188,0.0395,71.4765,22.1662,1.008221009
Laytonsville Elementary,Montgomery County,Elementary,51,377,172,71,73,26,0,0,33,62.9,0.74,80,4,12.5,60.60%,54.40%,3.5,3.3,69,48.5,39,80,75,41,31.3,56.3,54.5,39,60,75,38.5,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.10%,100%,0,91.40%,100%,65.5,51.5,17.15%,-1.0213,19.1190,-0.6769,0.3409,-0.5883,10.8290,-0.3284,4.7891,9.8084,6.6997,-0.8899387635
Little Bennett Elementary,Montgomery County,Elementary,336,629,171,129,94,185,0,0,48,67.4,0.79,91,5,13.7,64.40%,64.40%,3.7,3.6,67,40.9,51.2,82.2,75,31.3,48.7,67,53,41.5,81.1,65,37.5,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.30%,100%,0,92.30%,100%,60,67,17.46%,-1.0096,5.9228,-0.6988,0.0329,-0.5911,130.0745,-0.2260,2.8130,37.7523,13.2889,-0.08126303054
Lois P. Rockwell Elementary,Montgomery County,Elementary,156,470,223,57,111,52,0,0,25,66.4,0.78,88,5,14.1,65.40%,68.20%,3.6,3.7,72.5,48.1,50,77.3,72.7,41.2,48.4,77.1,51.9,47.6,77.3,81.8,41.2,41.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.30%,100%,0,89.60%,100%,58,60.5,18.94%,-0.9538,31.0590,-0.6633,15.1132,-0.5647,1.3677,-0.3551,0.3570,3.0638,7.1387,-0.8360684446
Lucy V. Barnsley Elementary,Montgomery County,Elementary,505,725,248,73,239,99,0,0,63,64,0.75,83,5,13.6,63.50%,63.70%,3.6,3.6,75.4,50,30.9,91,79.1,46.2,26.2,73.1,56.8,37.2,86.6,72.1,33.8,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.40%,100%,0,89.90%,100%,57,60,29.10%,-0.5711,0.4777,-0.7185,36.7500,-0.5492,0.2323,-0.3638,8.7899,6.7248,7.2784,-0.8189241331
