  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Sandymount Elementary,Carroll County,Elementary,404,455,386,23,31,0,0,0,0,55.8,0.74,81,4,13.3,69.30%,54.70%,3.7,3.4,72.8,60,40,0,0,17.4,0,56.7,50,33.3,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.20%,100%,49.5,53,18.36%,0.1653
Spring Garden Elementary,Carroll County,Elementary,806,458,388,14,39,0,0,0,12,59.2,0.79,90,5,13.2,65.80%,56.80%,3.7,3.4,66.7,0,47.4,0,0,22.7,0,57.1,0,36.8,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,91.30%,100%,63.5,62,26.20%,0.1688
Taneytown Elementary,Carroll County,Elementary,103,416,349,18,27,0,0,0,19,52.7,0.7,68,4,10.2,39.20%,42.20%,3.1,3,38.8,0,53.8,0,38.5,9.4,0,40,0,46.2,0,46.2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,84.40%,100%,50.5,66.5,61.59%,0.1641
Westminster Elementary,Carroll County,Elementary,710,527,392,30,56,24,0,0,21,65.6,0.77,86,5,12.5,59.80%,52.10%,3.6,3.3,65.5,53.3,39.3,54.5,38.5,18.2,16.7,57.9,60,17.9,40,46.2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.70%,100%,0,92.90%,100%,59.5,55,29.38%,0.1316
William Winchester Elementary,Carroll County,Elementary,705,553,361,47,106,15,0,0,24,60.8,0.72,72,4,12.4,60.30%,53.20%,3.5,3.3,67.5,51.7,34,90,0,12,22.6,62.9,41.4,20.8,90,0,12,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.20%,100%,0,89.30%,100%,57,49,32.67%,0.1079
Winfield Elementary,Carroll County,Elementary,906,548,490,11,22,0,0,0,13,55.1,0.73,78,4,13.3,66.10%,58.90%,3.6,3.4,68.3,0,50,0,0,7.3,0,59.8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.70%,0,87.30%,98.70%,58,53,20.58%,0.1865
Mount Airy Middle,Carroll County,Middle,1306,737,630,13,50,23,0,0,18,55.9,0.77,92,5,13.4,57.90%,66.70%,3.5,3.7,60,33.3,38.8,77.3,33.3,16.1,0,69.9,41.7,44,63.6,38.9,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.20%,0,87.40%,100%,55,70,12.04%,0.1732
North Carroll Middle,Carroll County,Middle,801,617,545,15,30,16,0,0,0,50.4,0.69,80,4,11.9,46.90%,57.30%,3.2,3.4,47.5,42.9,31,68.8,0,19.2,0,58.3,71.4,34.5,62.5,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.70%,0,89.50%,97.90%,44,57,19.16%,0.1812
Northwest Middle,Carroll County,Middle,105,653,564,22,32,0,0,0,29,51.1,0.7,81,4,11.3,42.80%,54.60%,3.1,3.3,42.5,35,53.3,0,40.7,7.8,0,55.4,55,43.3,0,48.1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.80%,0,84.70%,99.50%,52,66,34.61%,0.1741
Oklahoma Road Middle,Carroll County,Middle,508,748,627,32,26,34,0,0,25,57,0.78,94,5,13.5,58.70%,66.20%,3.5,3.7,60.4,26.7,38.5,69.7,62.5,12.1,0,65.9,56.7,57.7,81.8,70.8,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.70%,100%,54,64,5.75%,0.1635
