  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Walkersville Elementary,Frederick County,Elementary,2607,651,335,139,110,25,0,0,39,54.5,0.64,49,4,10.9,46.20%,44.40%,3.2,3.1,57.7,28.4,27.7,62.5,47.1,5.7,19.4,53.1,31.3,30.8,56.3,47.1,5.7,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.50%,100%,0,87.90%,100%,48,37,35.17%,0.0467
Waverley Elementary,Frederick County,Elementary,2403,717,59,165,422,47,0,0,21,45.8,0.54,23,3,6.7,20.70%,15.80%,2.5,2.3,47.6,18,17.3,31.6,21.4,0,12.6,33.3,14.8,12,31.6,21.4,6.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.30%,98%,0,78.10%,98%,49,29,52.85%,0.2449
Whittier Elementary,Frederick County,Elementary,2107,764,331,184,151,56,0,0,31,65.9,0.78,87,5,11.9,51.10%,52.50%,3.4,3.3,59.2,41.4,34.6,66.7,55.6,23.3,34.6,55.1,44.9,48.1,70.8,50,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,100%,0,95.30%,100%,59,58,32.20%,0.0518
Wolfsville Elementary,Frederick County,Elementary,603,159,137,0,11,0,0,0,0,57.6,0.77,86,5,11.6,54.30%,44.30%,3.5,3.2,57.4,0,0,0,0,16.7,0,45.9,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.80%,100%,75,55.5,27.67%,0.1810
Yellow Springs Elementary,Frederick County,Elementary,2103,453,271,90,45,28,0,0,17,61.2,0.72,74,4,13.2,63.60%,60.20%,3.5,3.5,66.9,50,57.9,84.6,64.7,12.5,0,62.9,48.8,57.9,92.3,47.1,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,100%,0,90%,100%,57,38,12.39%,0.0548
Ballenger Creek Middle,Frederick County,Middle,2305,777,409,136,134,57,0,0,35,47.7,0.57,51,3,10.5,36.10%,49.70%,3,3.2,41.2,24.2,21.9,62.3,31.3,5.7,18.2,51.8,44.2,35.9,73.6,53.1,9.9,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.70%,92.20%,0,89%,63.80%,48,47,23.54%,0.0578
Brunswick Middle,Frederick County,Middle,2525,578,437,38,60,12,0,0,29,40.7,0.56,46,3,10,37.20%,42.20%,3,3,39.9,31.6,19,91.7,19.2,8.3,0,45.1,32.4,27.6,91.7,23.1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94%,0,83.80%,68.30%,46,41.5,23.02%,0.1335
Crestwood Middle,Frederick County,Middle,227,579,192,170,136,38,0,0,40,44.7,0.54,39,3,9.7,33%,42.50%,2.9,3.1,49.2,20.1,25.2,45.9,26.3,9.7,7.7,51.9,39,32.8,59.5,26.3,9.7,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30%,86.60%,0,84.60%,59.30%,44,53,44.77%,0.0837
Gov. Thomas Johnson Middle,Frederick County,Middle,225,513,250,89,116,33,0,0,23,47,0.57,48,3,11,47.60%,46.90%,3.1,3.2,54.6,39,33.6,60.6,52.2,13.4,0,55.8,34.1,28.3,66.7,52.2,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,92.20%,0,84.40%,62.70%,52,43,33.72%,0.0696
Middletown Middle,Frederick County,Middle,311,812,694,16,58,10,0,0,30,55.5,0.76,92,5,13.6,61.60%,66.40%,3.5,3.7,62.6,42.9,47.4,100,55.2,13.6,0,66.6,42.9,66.7,90,58.6,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,91%,64.60%,67.5,65,11.60%,0.1733
Monocacy Middle,Frederick County,Middle,219,789,273,191,251,40,0,0,30,43.6,0.53,35,3,9.1,29.40%,40.30%,2.7,2.9,49.4,19.1,12.6,51.4,19.4,9.2,1,62.2,32.4,21,56.8,29,10.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.80%,85.90%,0,84.50%,51.10%,43.5,53,48.73%,0.1042
New Market Middle,Frederick County,Middle,914,543,475,10,32,0,0,0,17,44.5,0.61,60,4,12.5,56.20%,55.70%,3.4,3.4,57.6,50,30,0,52.9,11.8,0,55.7,60,50,0,52.9,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.10%,0,88%,31.40%,54,49,9.71%,0.1804
Oakdale Middle,Frederick County,Middle,918,704,551,16,56,39,0,0,35,53.3,0.73,87,4,14.3,63.40%,73.10%,3.6,3.9,64.3,37.5,50,82.1,61.8,21.8,0,74.4,62.5,56.6,84.6,70.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.20%,0,92.40%,56.20%,53,64,7.98%,0.1513
Thurmont Middle,Frederick County,Middle,1510,555,496,0,29,0,0,0,18,41.2,0.56,47,3,10.1,38.80%,41.30%,3.1,3,38.8,0,35.7,0,52.9,0,0,41.2,0,46.4,0,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.50%,0,86.90%,62.70%,45,38.5,28.65%,0.1904
Urbana Middle,Frederick County,Middle,716,964,512,54,117,200,0,0,69,56,0.77,93,5,15.3,72.80%,76.90%,3.9,4,68.6,57.4,60,95,72.5,19.7,0,76.3,63,67.8,89.4,71,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.90%,0,94%,67.60%,56,62,5.79%,0.1112
Walkersville Middle,Frederick County,Middle,2606,880,568,113,113,29,0,0,55,45.1,0.54,40,3,10.9,45.20%,46%,3.2,3.1,48.3,30,39.3,79.3,40,8.7,0,47.5,36.4,39.3,75.9,49.1,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.70%,95.40%,0,88.60%,42.50%,52,42,24.06%,0.0888
West Frederick Middle,Frederick County,Middle,211,891,235,204,342,69,0,0,35,51.3,0.62,62,4,9.9,34.80%,45.10%,2.8,3.1,58.8,23.7,17.8,55.1,52,4.1,4.9,67.2,35.4,28.7,66.7,50,5.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.70%,84%,0,86.50%,56.40%,58,58,57.29%,0.1430
Windsor Knolls Middle,Frederick County,Middle,714,757,622,27,67,18,0,0,21,49.9,0.68,77,4,12.8,55%,61.10%,3.4,3.6,55.5,42.3,52.2,83.3,45.8,12.7,0,61.6,46.2,59.7,72.2,62.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.50%,0,89.50%,61.30%,54,56,6.46%,0.1591
Brunswick High,Frederick County,High School,2503,771,609,32,69,15,0,0,42,59.3,0.74,78,4,19.2,54.50%,65%,3.3,3.6,56.6,0,38.5,0,0,13.3,0,65.1,0,41.7,0,0,18.8,0,93.63,95,0,0,0,0,0,0,94.87,95,0,0,0,0,0,0,0,94.50%,89.30%,78.80%,85.50%,0,0,18.28%,0.1492
Catoctin High,Frederick County,High School,1509,783,725,0,34,0,0,0,12,57.2,0.72,73,4,17.9,48.30%,59.70%,3,3.5,48.5,0,0,0,0,13.6,0,58.6,0,0,0,0,27.3,0,93.84,93.43,0,0,0,0,0,0,95.26,94.95,0,0,0,0,0,0,0,91.90%,89.10%,78.10%,81.80%,0,0,20.95%,0.2004
Frederick High,Frederick County,High School,209,1455,355,346,554,110,0,0,85,52.7,0.59,44,3,15.3,37.60%,47.50%,2.8,3.2,67,22.1,15.3,66.7,26.3,20,5.5,72,39,25.9,75,31.6,20,5.7,78.36,94.05,84.21,58.33,0,0,0,25.58,81.09,95.18,87.01,62.83,0,0,0,36.54,46.10%,74.20%,84.80%,76.80%,66.50%,0,0,40.33%,0.1468
Gov. Thomas Johnson High,Frederick County,High School,213,1578,619,331,459,69,0,0,92,56.6,0.63,53,4,18.1,49.40%,60.50%,3.1,3.5,60.1,29.5,35.1,78.6,73.3,10,0,72.2,48.4,38,85.7,73.3,22.6,0,89.26,90.41,94.32,79.35,0,0,72.73,0,91.94,91.78,98.85,83.33,0,0,76.47,0,42.90%,88.30%,82.50%,71.70%,70.70%,0,0,37.67%,0.0917
Linganore High,Frederick County,High School,912,1324,1148,33,78,21,0,0,36,64,0.8,89,5,19.6,65.50%,57.90%,3.4,3.5,66.4,0,58.8,0,0,33.3,0,57.1,0,52.9,0,0,23.3,0,96.85,97.31,0,0,0,0,82.35,0,98.15,97.9,0,0,0,0,90.63,0,0,92.60%,95.40%,87.80%,89.90%,0,0,7.20%,0.1759
Middletown High,Frederick County,High School,313,1142,998,24,52,29,0,0,39,66.6,0.83,94,5,22.1,69.90%,76.20%,3.4,4,70.6,0,45.5,0,0,33.3,0,76,0,72.7,0,0,13.3,0,98.11,97.84,0,0,0,0,0,0,98.86,98.71,0,0,0,0,0,0,0,96.30%,97.30%,85.80%,88.80%,0,0,7.11%,0.1790
Oakdale High,Frederick County,High School,920,1252,986,71,92,48,0,0,54,67,0.84,95,5,22.6,71.80%,80.70%,3.5,4,76.1,35.7,52,75,0,15,0,83.8,50,73.1,83.3,0,15,0,97.42,97.27,0,0,0,0,0,0,98.06,97.66,0,0,0,0,0,0,0,96.70%,97.70%,87.10%,83.50%,0,0,7.98%,0.1442
Tuscarora High,Frederick County,High School,2307,1550,706,358,262,107,0,0,110,64.7,0.72,73,4,19.6,54.20%,70.80%,3.1,3.7,63.5,33.9,33.3,76.9,61.5,11.1,0,77.8,51.6,63.6,88.5,69.2,16.7,0,90.21,94.97,84.71,81.36,0,0,54.84,0,92.57,96.07,87.21,86.21,0,0,--,0,50%,90.60%,86.10%,83.10%,81.30%,0,0,25.97%,0.0456
Urbana High,Frederick County,High School,713,1758,1123,127,196,219,0,0,89,69.6,0.87,98,5,23.7,78.60%,83.10%,3.6,4.1,80.2,53.3,70.7,98,73.9,18.2,0,82.9,57.7,82.1,100,77.3,17.4,0,96.26,97.54,0,95.45,97.96,0,0,0,98.35,98.94,0,97.73,100,0,0,0,0,96.70%,97.70%,91.30%,84.60%,0,0,5.42%,0.1054
Walkersville High,Frederick County,High School,2610,1098,755,137,104,34,0,0,60,62.1,0.78,85,5,20.6,62.20%,70.20%,3.4,3.7,67,25.9,42.1,90,0,14.8,0,71.2,53.8,66.7,90,0,34.6,0,94.51,95.34,89.47,0,0,0,85,0,95.24,95.85,92.11,0,0,0,87.5,0,0,94.50%,92.90%,82.60%,86.60%,0,0,21.60%,0.0995
Accident Elementary,Garrett County,Elementary,501,263,249,0,0,0,0,0,0,54.8,0.73,77,4,11.3,52.10%,47%,3.2,3.1,52.3,0,0,0,0,50,0,46.8,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.10%,0,91.40%,97.60%,76,37.5,37.26%,0.2094
Broad Ford Elementary,Garrett County,Elementary,707,550,535,0,0,0,0,0,0,44.9,0.6,36,3,7.1,13.40%,28%,2.4,2.7,13.8,0,0,0,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.90%,0,88.50%,100%,33,54,54.73%,0.2173
Crellin Elementary,Garrett County,Elementary,1408,134,128,0,0,0,0,0,0,54.4,0.73,76,4,8.6,27.70%,35.40%,2.8,2.7,28.6,0,0,0,0,0,0,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95%,0,92.60%,100%,78,43.5,59.70%,0.2119
Friendsville Elementary,Garrett County,Elementary,202,148,141,0,0,0,0,0,0,44,0.59,33,3,8.5,24.60%,36.90%,2.7,2.8,25.8,0,0,0,0,20,0,38.7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,87.30%,100%,29,47,66.04%,0.2112
Grantsville Elementary,Garrett County,Elementary,301,203,202,0,0,0,0,0,0,47.2,0.63,45,4,10.4,53.80%,32.10%,3.2,2.9,54.5,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96%,0,92.20%,100%,37.5,34.5,57.01%,0.2242
Route 40 Elementary,Garrett County,Elementary,904,140,137,0,0,0,0,0,0,58.4,0.78,88,5,9.9,40.90%,40.90%,2.9,3,41.5,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,96.70%,100%,59,67,32.87%,0.2191
Yough Glades Elementary,Garrett County,Elementary,710,328,314,0,0,0,0,0,0,49.2,0.66,54,4,9.5,28.70%,44.80%,2.8,3,27.7,0,0,0,0,16.7,0,45.3,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.80%,0,88.10%,100%,34.5,63.5,53.05%,0.2126
Northern Middle School,Garrett County,Middle,511,357,337,0,0,0,0,0,10,48.7,0.67,73,4,10.1,42.30%,38.70%,3.1,3,42.3,0,0,0,0,8.8,0,38.2,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.30%,0,87.30%,91.40%,62.5,46,46.22%,0.2082
Southern Middle School,Garrett County,Middle,708,514,501,0,0,0,0,0,0,46.5,0.64,67,4,9.1,32.90%,35%,2.8,2.9,33.3,0,0,0,0,15.4,0,34.9,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.40%,0,85.50%,100%,53,45,46.89%,0.2179
Northern Garrett High School,Garrett County,High School,512,416,405,0,0,0,0,0,0,63.1,0.79,88,5,21.1,60.80%,75.20%,3.4,3.9,60.6,0,0,0,0,0,0,75.5,0,0,0,0,0,0,92.97,92.91,0,0,0,0,0,0,94.49,94.44,0,0,0,0,0,0,0,99%,92.90%,80.70%,93.90%,0,0,36.06%,0.2175
Southern Garrett High School,Garrett County,High School,709,715,682,0,10,0,0,0,18,57.1,0.71,72,4,17.4,43.70%,56.90%,3.1,3.5,43.2,0,0,0,0,8.3,0,56.8,0,0,0,0,8.3,0,91.93,92.26,0,0,0,0,0,0,90.8,91.08,0,0,0,0,0,0,0,97.60%,92.50%,74.90%,93.40%,0,0,37.90%,0.2103
Abingdon Elementary,Harford County,Elementary,123,826,493,171,82,19,0,0,55,55.4,0.74,80,4,11.9,53.10%,50.90%,3.4,3.3,62.3,34.8,40.5,0,50,15.7,0,59.1,37.1,40.5,0,50,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.30%,100%,56,57,30.04%,0.0564
Bakerfield Elementary,Harford County,Elementary,212,410,145,131,84,11,0,0,39,56.8,0.67,58,4,10.1,44%,38%,3.1,2.9,55.3,28.6,31.6,0,64.7,6.3,36.4,46.1,27.1,27,0,52.9,9.4,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.10%,100%,0,86.90%,100%,55,37,66.51%,0.0748
Bel Air Elementary,Harford County,Elementary,314,487,364,32,59,14,0,0,15,62.1,0.73,78,4,13.7,66.50%,64%,3.6,3.6,73.9,31.3,25,0,0,31,41.2,68,37.5,47.4,0,0,24.1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.80%,100%,0,92.70%,100%,58,41,23.30%,0.1308
Church Creek Elementary,Harford County,Elementary,125,793,334,292,64,20,0,0,79,44,0.59,33,3,8.6,29.80%,30.60%,2.8,2.8,36.4,20,25,0,40.6,3.2,0,35.7,20.7,25,0,46.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.70%,0,90.70%,100%,38,29,36.91%,0.0505
Churchville Elementary,Harford County,Elementary,316,383,328,20,0,0,0,0,23,57.4,0.77,85,5,12.9,58.50%,60.50%,3.5,3.5,60.9,30.8,0,0,0,5,0,62.7,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.80%,100%,55,56,18.59%,0.1714
Darlington Elementary,Harford County,Elementary,518,103,86,0,0,0,0,0,0,51.9,0.69,65,4,10.9,45.30%,46.90%,3.2,3.2,46.3,0,0,0,0,11.1,0,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,88.20%,100%,65.5,39,35.64%,0.1775
Deerfield Elementary,Harford County,Elementary,120,791,240,365,76,12,0,0,93,48.9,0.58,30,3,8.2,31.10%,26.20%,2.8,2.6,33.9,30.1,26.5,0,28.3,13.7,15,28.1,27,15.2,0,24.5,6,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.50%,93.90%,0,83.40%,100%,48,35,73.20%,0.1032
Dublin Elementary,Harford County,Elementary,522,236,204,0,14,0,0,0,11,52.8,0.7,69,4,11.8,56.10%,48.60%,3.4,3.2,53.8,0,0,0,0,0,0,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.60%,100%,59,31.5,27.85%,0.1819
Edgewood Elementary,Harford County,Elementary,115,394,100,208,59,0,0,0,17,51.9,0.61,39,4,8.5,32.10%,27.70%,2.9,2.6,60,27.6,32.1,0,0,20.8,6.7,40,24.1,33.3,0,10,16.7,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.80%,90.90%,0,82.90%,100%,65,33,67.92%,0.1297
Emmorton Elementary,Harford County,Elementary,121,607,414,60,39,62,0,0,31,65.4,0.77,86,5,12.7,63.90%,51.70%,3.6,3.3,64.8,48.6,50,82.9,62.5,23.7,52.9,54.2,29.7,45,73.5,31.3,15.8,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.70%,100%,0,95.40%,100%,58,49,15.35%,0.1061
Forest Hill Elementary,Harford County,Elementary,326,512,440,12,20,15,0,0,25,51.2,0.68,62,4,13.2,60.50%,60.50%,3.6,3.5,61.5,0,60,0,50,23.1,0,61.1,0,50,0,57.1,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.90%,100%,45,27,7.45%,0.1745
Forest Lakes Elementary,Harford County,Elementary,328,445,393,0,20,0,0,0,18,50.4,0.67,59,4,11.9,59.70%,46.60%,3.4,3.1,59.4,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,94.60%,100%,52.5,27,10.34%,0.1877
Fountain Green Elementary,Harford County,Elementary,327,500,394,32,24,31,0,0,19,55.2,0.74,79,4,13.3,63.70%,60.20%,3.6,3.5,65.8,35.7,0,65,60,23.3,0,59.8,57.1,0,65,50,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.90%,0,94.20%,100%,49.5,49,13.63%,0.1431
G. Lisby Elementary at Hillsdale,Harford County,Elementary,211,417,159,157,32,0,0,0,57,34.9,0.47,14,3,7.4,25%,22.40%,2.6,2.5,20.3,24.6,40,0,28.6,9.7,0,17.6,26.8,26.7,0,23.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,75.60%,100%,38,18,75.41%,0.0724
Halls Cross Roads Elementary,Harford County,Elementary,230,504,163,228,35,0,0,0,68,40,0.53,23,3,6.5,18.70%,17.10%,2.4,2.3,25.4,9.8,40,0,20,6,0,21.7,9.8,20,0,22.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,78.10%,100%,55,30,82.42%,0.1003
Havre de Grace Elementary,Harford County,Elementary,632,490,262,112,47,0,0,0,60,49.5,0.66,55,4,10.5,45.80%,41.10%,3.1,3,48,43.8,37.5,0,50,16.7,0,44,37.5,36,0,38.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.10%,100%,54,42,59.96%,0.0543
Hickory Elementary,Harford County,Elementary,333,696,577,28,29,29,0,0,31,52.6,0.7,68,4,12.7,61.70%,54%,3.5,3.4,64.4,23.5,35.3,94.4,47.4,15.6,0,55.8,41.2,35.3,66.7,42.1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.20%,0,93.70%,99.20%,53.5,32.5,11.52%,0.1613
Homestead/Wakefield Elementary,Harford County,Elementary,335,974,724,68,69,73,0,0,37,64.9,0.76,85,5,13.5,64.50%,60.60%,3.7,3.5,65.3,52.6,57.1,76.3,61.5,31.1,50,59.3,60.5,50,76.3,76.9,24.4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.80%,100%,0,97.30%,100%,71,40,11.76%,0.1283
Jarrettsville Elementary,Harford County,Elementary,436,410,380,0,0,0,0,0,14,62.1,0.83,95,5,14.1,66%,69.20%,3.7,3.7,67.2,0,0,0,0,25,0,70.1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.50%,0,94.60%,100%,69,61,11.65%,0.2031
Joppatowne Elementary,Harford County,Elementary,137,562,323,146,44,17,0,0,29,45.8,0.61,39,4,9.3,37%,33.60%,2.9,2.8,36.1,37,17.6,0,38.5,11.4,0,37.1,30.1,23.5,0,23.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.90%,100%,50,30,41.62%,0.0375
Magnolia Elementary,Harford County,Elementary,131,535,76,332,53,0,0,0,67,38.1,0.51,18,3,6.1,15.70%,14.30%,2.3,2.3,26.8,10.9,22.7,0,15,2.4,0,14.6,13,13.6,0,20,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,80.60%,100%,31,37,84.12%,0.1862
Meadowvale Elementary,Harford County,Elementary,638,515,354,63,40,0,0,0,50,52.6,0.7,68,4,12.1,56.60%,51.20%,3.4,3.3,63.3,33.3,27.3,0,53.6,18.5,0,55,33.3,36.4,0,50,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.30%,100%,56,35,28.60%,0.1055
Norrisville Elementary,Harford County,Elementary,441,225,207,0,0,0,0,0,0,47.2,0.63,45,4,10.7,40.90%,46.20%,3.2,3.1,41.2,0,0,0,0,5,0,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.60%,100%,40,26,12.39%,0.2014
North Bend Elementary,Harford County,Elementary,447,375,336,0,13,0,0,0,17,52.4,0.7,67,4,11.9,58.60%,45.70%,3.4,3.2,59.6,0,0,0,0,0,0,47.3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.50%,100%,53,34.5,11.87%,0.1920
North Harford Elementary,Harford County,Elementary,544,368,338,0,0,0,0,0,15,52.9,0.71,69,4,11.4,47.50%,50.80%,3.3,3.3,48.8,0,0,0,0,17.6,0,50,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.40%,100%,49,47,24.46%,0.2007
Prospect Mill Elementary,Harford County,Elementary,329,566,399,51,49,33,0,0,34,62,0.73,77,4,12.1,57%,50.70%,3.4,3.3,57.9,45,50,70,53.3,11.4,38.5,52.3,40,50,50,46.7,11.4,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.90%,100%,0,93.30%,100%,59,34,22.26%,0.1129
Red Pump Elementary School,Harford County,Elementary,349,714,603,32,29,13,0,0,34,56.1,0.75,82,4,12.6,59.90%,55.90%,3.5,3.3,60,46.7,45.5,0,70.6,20.6,0,56.3,53.3,45.5,0,47.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,94.90%,100%,59,43,9.87%,0.1656
Ring Factory Elementary,Harford County,Elementary,345,532,410,29,24,27,0,0,38,58.7,0.69,64,4,13.2,65%,57%,3.6,3.5,66.7,55.6,63.6,76.5,56.5,25.7,0,57.4,50,45.5,70.6,56.5,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90%,100%,0,94.90%,100%,39.5,23,11.61%,0.1419
Riverside Elementary,Harford County,Elementary,143,472,212,149,59,11,0,0,36,47.4,0.56,27,3,7.3,24%,19.80%,2.7,2.5,30.1,14.1,12,0,27.3,13.8,0,28.4,11.3,8.3,0,13.6,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,98.80%,0,88.90%,100%,40,12,58.14%,0.0333
Roye-Williams Elementary,Harford County,Elementary,639,498,201,133,88,0,0,0,66,43.2,0.58,30,3,8.3,28.50%,29.80%,2.6,2.8,24.7,29.2,27,0,33.3,0,0,32.1,30.6,27,0,21.2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.20%,0,83.30%,100%,45,35.5,40.04%,0.0682
William Paca/Old Post Road Elementary,Harford County,Elementary,140,839,234,371,125,20,0,0,83,48.6,0.57,29,3,7.1,22.20%,22.60%,2.5,2.4,20.9,23.7,20.8,0,16.7,1.6,4.8,20.9,23.7,19.2,0,20,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.90%,96.80%,0,80.20%,100%,55,36,70.36%,0.1053
William S. James Elementary,Harford County,Elementary,113,407,306,36,22,11,0,0,28,49.7,0.66,55,4,12.2,57.10%,51.30%,3.4,3.4,56.1,46.2,42.9,0,72.7,29.4,0,51.8,46.2,21.4,0,63.6,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,92.60%,100%,37.5,39,16.10%,0.1283
Youths Benefit Elementary,Harford County,Elementary,348,999,891,13,30,27,0,0,35,55.1,0.73,78,4,13.1,62.10%,58.80%,3.6,3.5,61.1,45.5,0,100,66.7,10.4,0,57.7,54.5,0,75,66.7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.90%,100%,54,40.5,5.31%,0.1869
Aberdeen Middle,Harford County,Middle,265,1126,421,415,100,43,0,0,133,36.8,0.44,19,2,7.4,17.50%,28.20%,2.4,2.7,22.7,10.7,15.2,38.1,17.4,4.5,11.1,33.9,20.9,26.1,46.3,28.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.90%,89.80%,0,75.80%,72.90%,37,34,53.38%,0.0652
Bel Air Middle,Harford County,Middle,372,1366,1027,101,87,88,0,0,57,46.7,0.64,68,4,12.8,54.70%,61.70%,3.4,3.6,55.9,29.3,45.7,80.7,48.2,16.7,35.7,61.3,49.5,61.7,82.6,58.9,15.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.20%,0,90.80%,60.30%,46,45,11.40%,0.1298
